text,label
علاه نحيت ال حجاب,0
قتلك ديمة موهر,2
يزي يا مجال إحشم,0
مشيت تونس,0
حدة راشد إسم كريج من ايجه,0
إتلحس القطر هداك الش تتكلم الصحافة الالأمية إنتاك,0
ج ايمج أم,2
و إنت مش كان مشيت سترة روحك خير ي عاهرة ي ذبلت تجمع إن ل نهضاوي ولي قر برى خمم فيها توا تلقى روحك عاهرة ي لول كلام راجل صحيح شبيك بهيمة اى زحي فوقوا راكم عملتو ريحة من بهمتكم فوقوا قبل متتصس رقابكم ي فروخ مكياج,0
إنعمبو الوقت القلب إلي خلا واحد كيفك اصل وجل,0
الله يرحموا يسور,2
مذابين نكون احنا لولا فال لص ركرتمنت,2
سلم عليكم و مني نسي,1
كلنا حزن والله,1
ربي يحفض ماشالله,2
حتى اني اكسس دنيد ات برطانة ي اى كي ٥٤ فيورس,0
م نون عربي أي لوف شفلي هل حفي جود يرث,2
الله يرحمو,2
واحد يخو قناة و واحد ابيع في الحليب,0
ل بيبل كلوبيست أفق توا سي سليم,2
لفريقي شعب أو عقلية تحرمت منها كل ال افارقة,2
شلح ربي يوفقكم وينجح مسللسل,2
ديدش تحكوا على زوالي يكفيه ال فيه من ضرايب و معيشة و حتى ال إرهاب فيه كن زوالي كن ملت أو هل ال إلي شباب المشي داعش ضحية نضام مستبد و ميليشيات بيع و شرا مسكين شع اب تونسي متع كن ربوخ و روست,0
ربي يفضلكم ميدوم حاله,2
هت كما شكون أما إنت جبان هت نفرق رمانة,0
ترجي إدكل في ٢٠ مليار في ال هم,0
أفسل نشالله نوصل العمرك ونقعد في زينك وجمالك و وهرتك,2
سايب خوك,0
صوت مقزز,0
نيس فيديو كيب جينغ برو,2
شعب لفريقي لكل وراك اخدم على روحك و ربي يجيبنا في طريق إصحيحة,2
كحلت وكهو ميوزيك ٠ مش بحرك هه,0
ك إست أن سجت ترس إنترسنت كن ج أفق راية بنك طرب لدي سمارى هاشم بقلية ملكة ميساوي سرت مروة أغرب فمقر برشة أما ادهم لحقيقة ال صابر و برى,2
ن امبورت كي بين عمبلهم ب توتس لص كستينس,0
علينا و عليك كابو,2
نشالله اكون بداية طريق لل تيترووات,2
ربي معكك,2
مكسة كان لبونية,0
سيبتو ناس لكل و كبشتو فيه هو أعز صوت في تونس و أذربلو على طيارة,0
ههههههه عجب سليم يحكي الى فلسطين,2
برافو و ديمة سا لبس رغم طحنت إدخل و الخارج,2
خرم محتاجة دس انفس عليك حبة نعمل أن أرتكل عليك سفب,0
قدكش تافها والله في بلاصتو إن نشكي بيك ولهه تي إنت إلي تتحرش به وتستفز فيه خيت خيت خخييت أليك,0
إنش الله ربي معك ما سœر ات بن كرج أى تي,2
أنا فتيت لل كبر انشالله ربي مكم,2
خيت مرزن مليكتها هل لكزة,0
تهاني تهاني تهاني تهاني تهاني تهاني,0
لكلها تحط تصويرة أليكس فوتو ٢ بروفيل بسر ل مسج,2
و ار تونس بابي يسر,2
ههه زنطور,1
بولبيار يضحك أكثر من لطفي,2
