text,label
"""فيروس الفيفا يضرب لاعب جديد من برشلونة - كورابيا https://t.co/AoYVzLiJvW #برشلونة""",0
"""كلينتون انا صارت رئيسه فاسياسه اوباما هي سياستها وترامب مثل بوش الافضل مانتعب انفسنا بمتابعتهم كلهم اعداء للامه الاسلاميه نسال الله يكفينيهم""",1
"""السعودية: «درع الخليج1» حقق أهدافه #السعودية https://t.co/ibX1z19Hvj""",2
"""#البرلمان | الاحتلال ينصب عشرات الحواجز العسكرية في القدس المحتلة https://t.co/xR8DVfT8bF https://t.co/sUIq0Uky5P""",0
"""RT @aitnews: تعتزم #جوجل إطلاق الإصدار 55 من كروم الذي سيقلل استهلاك الذاكرة بنسبة 50%https://t.co/1FcwVY5HXT""",2
"""@othman777 لو شخصية اطلبها من امازون . . . لكن كنت اوفرها للمتاجر سواء الكترونية او محلات بالاسواق وعندي متجري الخاص . . . لكن حاليا متوقفة""",1
"""@BlackGamer10 @dubayan انا كمان اتابعها بس في الفترة الاخيرة سارت كلها بوكيمون""",1
"""تفعيل الوضع الليلي على iOS https://t.co/s7BDUAkHcG#ابل #ايفون٧ via @H_watif https://t.co/pfKFHpM48W""",1
"""إسرائيل تطلق اسم “بيريز” على مفاعلها النووى https://t.co/l37KzOAt49 https://t.co/Og1qYHZMt7""",1
"""RT @HillClinton_Ar: دونالد ترامب وهو صغير https://t.co/dnrHOhR0Lb""",1
"""RT @aqab7: اتمنى رجوع الهيئه وأعطاهم كافه الصلاحيات هذا ركن من اركان الاسلام  #تكفي_يابو_فهد_نحتاج_للهييه""",1
"""RT @Wesal_TV: #أردوغان لـ ""حيدر العبادي"" : الجيش التركي لن يتلقى أوامر منك فألزم حدك ، وأنت لست بمستواي ولست ندي وصراخك في #العراق ليس مهما…""",0
"""@Islam_Tabe5 اسمع اغنية halo ل بيونسيه واغنية pillow talk ل زين مالك فخمين وكمان flashlight ل جيسي""",2
"""RT @Sniger7: امسك #بوكيمون  مش قدر امشى والنعمه دى هتبقى مسخره اه والنعمه 😂😂""",1
"""@2iAbX بوب مارلي و جستن بيبر مره ماتركب""",1
"""RT @Tjvip4rMoot8wvt: الى اهلنا في الدول العربيه من اهل الخير يوجد 20 طالب مهجرين من العراق في تركيا لم يدخلو المدارس لانهم حالهم صعب ولا يم…""",1
"""RT @Rasa171a: إسرائيل ""تصادر"" المياه من سكان الضفة الغربية   https://t.co/pTmmpDu3wJ https://t.co/v2pAvjwN6d""",0
"""نجم برشلونة السابق ينقذ ميلان من شبح الاصابةالتفاصيل: https://t.co/xk4UWhU0bO#إبداع_الملاعب https://t.co/r1QtFZu4GV""",2
"""RT @TradervicsKSA: وثق تجربتك في #مطعم_ترايدرفيكس ❤️واربح جوال أيفون 7 لأفضل صورة 😍#خذلك_سيلفي_مع_ترايدرفيكس#مسابقةموعد السحب في الإعلا…""",2
"""RT @putinarabia: لافروف:سنضرب الاٍرهاب في #سوريا .كيري:ربما نضطر لدعم المعارضة!لافروف:إذا ستخسرون مالكم فقط لأننا سندمرها!كيري: تقصد أمو…""",0
"""RT @Ahmed2I3h: وتتابع صحيفة النيويورك تايمزالتي خلقت كارثة إنسانية في أحد أفقر بلدان العالم  وإثارة الإرهاب ، والأمر بيد الرئيس #أوباما لي…""",0
"""بوكيمون غو Pokemon رسميا في الدول الإفريقية ومن بينها دول عربية https://t.co/OfgHAFesKN""",1
"""RT @Alhasban2012: عالم بلا إيران https://t.co/mFTbx2Oa3mالسعد بن عبدالله بن بيّهو مقال مدروس""",1
"""@jdeed2002 هذي تباع في امازون !!""",1
"""RT @zugailamm: اسمعوا هذا الكلام عن حلقات تحفيظ القرآن التي اتُّهمت من إعلامنا بكل أنواعه وصوره بتفريخ الإرهاب والذي جنينا بسببه #قانون_جاس…""",0
"""بقالي سنين مكسله اكتب في جوجل ايه هو مشروع ليلي ؟مش عارفه ليه مش عايزه اعرف""",1
"""RT @SobhiTfaily: كربلاء هذا العام في حلب ، و رضيع الامام الحسين تحت انقاض بيوتها.  #حلب""",0
"""عاجل اليمن - تعرف على أسرع هاتف أندرويد في الولايات المتحدة - عاجل اليمن - تعرف على أسرع هاتف أندرويد في الولاي... https://t.co/54kt0rBjEo""",2
"""RT @Abdullah_iApp: هداياكم  وصلت  14 ايفون 7 واللون اسود لانه هو المطلوب الان فقط متابعة ورتويت وتدخل السحب ومره من تويتر ومره سناب…""",1
"""RT @IranObs_ar: #المرصد_الايراني#الأخبار | واقع البطالة وتانمي معدلاتها في إيران بلا حلول""ترجمة خاصة""https://t.co/to78grq7eo""",0
"""برلمان الشباب اليمني يدين المجزرة السعودية في الصالة الكبرى بالعاصمة صنعاء... https://t.co/FVmcWC25OK""",0
"""أوباما: إقرار جاستا خطأ وسابقة خطيرة: المواطن – نت انتقد الرئيس الأميركي باراك أوباما تصويت الكونغرس بإسقاط ا... https://t.co/UGg6wYRp3v""",0
"""RT @dalal_ali96: يسألونك عن الأرهاب هاهم الأرهابيون الذين أخافوا جميع المنظمات وحقوق الإنسانأنهم ارهابيون بنظر #الاسد و#بوتين. https://t.c…""",0
"""@sorry_z من امازون وفيه مواقع هنا توفرها""",1
"""RT @baladinetwork: #بلديمحطة ""#سليمان_الحلبي"" تعود لضخ المياه إلى #حلب#سورياhttps://t.co/YNFyRIhnPI""",1
"""RT @falshi777a: ""احلم دوما أن اكون "" 👱🏻""الأفضل بين الجميع "" 👩🏼"" لذا اجمع البوكيمون "" 👱🏻"" سلاحي المنيع "" 👩🏼""بوكيمون سأجمعها الان "" 👩🏼👱🏻…""",2
"""RT @Engkerooelatar: طبعا لو حلفتلك اني بدور ع بوكيمون ف أوضه نومك مش هتصدقني https://t.co/lDZUspK2gG""",1
"""RT @AlghamdiProf: #هاهم اليهود يدرسون التوراة حتى داخل اقسام الشرطة بينما يطالب رموز العلمانية عندنا بغلق حلقات التحفيظ ونبذ الاسلام بزعم أ…""",0
"""2-والمواقع مثل امازون "" جولي شيك "" شيئين "" علي اكسبريس "" حجوزات الفنادق ""بوكيق"" والطيران كلاً من الامراتي والقطري والكثير""",1
"""الأهلي يواجه برشلونة.. والجماهير تزور سراج https://t.co/iUUVKqOuNE عبر @3alyoum""",1
"""RT @nbenotman: عندي نصيحتين في التغريدتين التاليتين أتمنى التفكير فيهما بتمعن خلال غيابي عنكم كم يوم بسبب أنغماسنا في مكافحة الأرهاب أقليمي…""",1
"""حتی بالانمي نشيت لنا هاللعبة 😂💔#جيمرز #بوكيمون_قو #جيمر https://t.co/MDY8IBbnHM""",1
"""RT @HadiAlabdallah: مركز حلب الإعلامي @AleppoAMC ينشر تصوير جوّي يوضح حجم الدمار في حي المشهد بحلب إثر الغارات الجويّة المكثفة التي استهدفت…""",0
"""RT @yavuzacar2: #أردوغان يطبع مع إسرائيل التي تقتل الفلسطينيين ويتحالف مع روسيا وإيران اللتين تدمران معا سوريا وأهلها مع ذلك فهو حامي المسل…""",0
"""RT @azizmousaa: والعبادى نسى انه مجرد موظف لدى امريكاحتى اوباما مابيسلمش عليه مثل السيسى😁فكان رد اردغان عليه باختصار(ياهذا انت مجرد حشره)""",0
"""(الحاكم المشترك) للحسكة يدعو (بشار الأسد) للاطلاع على تجربة الإدارة الذاتية https://t.co/DEWmvIE95K https://t.co/MGrsaYuANI""",1
"""RT @n_iraq67: @EHSANFAKEEH #افضحوا_العبادي_الجبانالصفحة الرسمية لحيدر العبادي تحذف منشوره الذي هاجم فيه #أردوغان بعد ساعات فقط من نشرهحي…""",0
"""RT @sharif_hijazi: يحرقون حلب ثم يبكون اليمن .. #أحقر_الناس""",0
"""أَلَمٌ أَلَمَّ أَلَمْ أُلِمَّ بِدَائِهِ ...... إِنْ آنَ آنٌ آنَ آنُ أَوَانِهِ كوت ريتويت بمعني بيت الشعر دة للمتنبي بدون ما تبحث في جوجل""",1
"""RT @MohannaAlhubail: من يتطوع ويبلغ مجلس الأمن ان البوذيين المتطرفين يمارسون الارهاب حاليا ضد القطط في اركانفدمها اهم من المسلمين لديهم…""",0
"""RT @yemenStreetnews: داعش لم ينعشها الا المال السعودي والقطري وكذلك فتاوى الاخوان والوهابيه ..قرضاوي قطر وال الشيخ مكه وبقية علماء السلطان .""",0
"""حسيت بيقين جوها ممرره زي اغاني جستن بيبر بس كل ما سمعتها كذا يرجع لي حماس الافلام لأن الايقاع الاساسي نفسه.. صوت جونقكوك جميل فيها""",2
"""@hshzjwbzjqjsbz1 @km22next @ahmedlahou @iSomali_s @mrfahad555 يابن الحلال افتح اليوتيوب وانظر اليهم دينهم والله ماهو دين الاسلام""",0
"""@RaedAitch شفيك خربان؟ صورة وحدة مفصخه مشيتها كيعوت مشيتها اما جستن بيبر لا لا😂😂""",0
"""RT @xEmDGsvITGz6UEW: تطاول #اردوغان على #العبادي هي ليست اهانه لل #العبادي فحسب بل اهانه للعراقلأن #العبادي_يمثل_العراق شئنا أم أبيناتوح…""",0
"""قانون خليجي لمكافحة الإرهاب يلجم أصحاب الأهواء: لمشاهدة الجرافيك بالحجم الطبيعي اضغط هنا في محيط جغرافي مضطرب... https://t.co/rNXmYj42lm""",1
"""RT @alazzazy: #كوريا تستحق الإحترام.. #كوريا تستحق الإسلام.. فمن لها يا كرام؟! https://t.co/IrWH1xQnNC""",2
"""نستعرض معكم في هذا الموضوع 3 تطبيقات ويدجت بسيطة ومفيدة لنظام #أندرويد#نصائح_تقنيةhttps://t.co/Q3KPCTcDE0""",2
"""RT @hassanalishaq73: #اردوغان  محدثا""حيدر العبادي انت لست بمستواي والزم حدك 😂😂😂😂 معاه حق..!! https://t.co/GYyKsADdVB""",0
"""من قايل لجراح الهبيده انك حلو ؟ والله يا معطي نفسه وضعيه جستن بيبر بسنابه 😂""",1
"""RT @KR_3D: هل يعلم #اردوغان ان العراق امضى اخر 36 عاما في قتال الكرة الارضية بكل دولها ومسمياتها وان ابناء العراق اعتادوا على رائحة البارود…""",1
"""بالصور: أطرف اللقطات التي قام بها باراك أوباما طوال 8 سنين في الرئاسة https://t.co/Qcvy5ciELy""",2
"""RT @a_alalkami: بالنسبة للشرق الاوسط وعلاقته بالانتخابات الامريكيةفللاسف لن يحدث جديدهيلاري مؤمنة بفلسفة اوباما بالمنطقةتقليل النفقات(ال…""",0
"""@shahd_hussaini يعني احنا نخلص من حرب داعش وانطب بحرب وي تركيا للاسف الحروب تتبعنا بكل مكان مافي يوم العراق يضل بدون حرب الله يلعن الأتراك""",0
"""RT @saadalbreik: #سعد_البريك_يزور_حسينيهكذبوا علينا لأننا لم نوافقهم في تأييد السيسي وعداوة أردوغان فلن نقول ماقال بعضهم⬇️ ولن نفتري على…""",1
"""تعلم كيفية ارسال رسالة فى بريد الجميل فى جوجل https://t.co/Bi0XrsMNIO https://t.co/o3SNH1Zevc""",1
"""#الاتحاد_برس بشار الأسد يربح الانتخابات وجيشه في لبنان ودمار للخليج.. هذا ما ... https://t.co/qJkfxlfrjv #سوريا #مصر #أخبار""",0
"""يالله الله يعين لازم نرجع الكفرات اللي شريتها من امازون والاكسسوارات اللي طلبتها 😔 .@Samsung_Saudi""",0
"""RT @RaniaAbdallah: و لا الاهطل ده اللي طلع الساعة ٢ الصبح قالك هنعمل جيش إسلامي لمحاربة الارهاب !! اخبار التحالف الأهبل  ده و لا عافصة الحز…""",0
"""@ibrahim_ghassan أردوغان المصلحة قبل كل شيء ووقوفه من قبل مع الثورة السورية وقوف تجاري محض فلما رأى المصلحة مع الرروس باع الثوار وثورتهم""",0
"""RT @20fourMedia: #غوغل تتحدى أبل وأمازون بأجهزة جديدةhttps://t.co/lonD0nImA0 https://t.co/YQ9Da5gvBL""",2
"""RT @aml_mostafaaa: ضيوف الابراشي السنه والشيعه الاتنين عار علي الاسلام منتهي الكره لبعض واصوات عاليه وهمجيه الست اتصلت الشيخ كان بيشرشح لها…""",0
"""RT @josianerahme: ""باراك أوباما"" في صور لم تروها من قبل! https://t.co/TdEEpOdCsn""",1
"""أفضل تطبيقات أندرويد لهذا الأسبوعhttps://t.co/eP7pOPiyFo https://t.co/AAUqt7EqvD""",2
"""اخبار برشلونة اليوم Tuesday 11/10/2016 : لويس انريكي يفكر في إشراك أومتيتي كظهير أيمن https://t.co/YeblUYozs9""",1
"""RT @sharif_hijazi: والعراقي يلّي بلا شرف هربان من قتال داعش في وطنه حتى يفطس في قتال أهل حلب""",0
"""RT @AlMayadeenNews: اليمن: الحوثي: لولا الدور الأميركي في العدوان لما تجرأت #السعودية على ارتكاب الجرائم بحق الشعب اليمني  https://t.co/gDs…""",0
"""تقدم لكلينتون بعد فضيحة ترامب ..والجمهوريون يتنصلون منه: وجد المرشح الجمهوري الى البيت الابيض دونالد ترامب نف... https://t.co/Luw0xb6VZ0""",0
"""#جوجل ستفتتح أول متجر ” MadeByGoogle ” في مدينة نيويورك يوم 20 أكتوبر - علوم وتكنولوجيا https://t.co/M7Wrw5LE0g… https://t.co/loCkBQGmrw""",1
"""#بشار_الأسد يمنح الجنود #الروس ""حصانة دبلوماسية"" في #حميميمhttps://t.co/Y5RfCk3D6s https://t.co/P878l1OPE9""",1
"""الإعلامي #محمد_الغيطي لـ""#السعودية"": احنا الحضن بتاعكم#شاهد الفيديو عبر ◄ https://t.co/qOKDdmRoJm https://t.co/z1TVbvPXvj""",2
"""إسرائيل تطلق اسم “شيمون بيريز” على مفاعلها النووي https://t.co/60SfEWtRfJ https://t.co/nX7isv4lZU""",1
"""@noonee580 @kxxlxxd من امازون تقريبا كان سعرها ٢٨٠ ريال""",1
"""قال الرئيس الأميركي باراك أوباما إنه بحاجة للاستماع لأفكار بشأن إنهاء الحرب في سوريا https://t.co/wj78sKN0Ti عبر @AJArabic""",2
"""سولانج شقيقة بيونسيه تتصدر «بيلبورد» الأميركية https://t.co/vBIYJYhXIa https://t.co/5g4DyYyqOq""",2
